model,repeat,r2,mse,mae
svr_0.1_0.01,0,0.4568885747541862,0.323607893872839,0.4311911385913469
svr_0.1_0.1,0,0.45575489693824467,0.3242833852605983,0.4385009094094955
svr_0.1_0.5,0,0.3712324474656472,0.37464530104320415,0.5079470052555125
svr_0.1_1,0,0.18136079837913188,0.48777855807096837,0.595093053236494
svr_1_0.01,0,0.7050238296726257,0.17575880893890883,0.3124567747856844
svr_1_0.1,0,0.6978604996447852,0.18002701254441447,0.3213912709720746
svr_1_0.5,0,0.5625186796072621,0.26066917785227317,0.4232230917901189
svr_1_1,0,0.2894062299978293,0.4234006920504118,0.5576401537849808
svr_10_0.01,0,0.6875420657402092,0.18617515546446936,0.3223202045948211
svr_10_0.1,0,0.6891550509153012,0.1852140732424863,0.3244631141070053
svr_10_0.5,0,0.5781107733890132,0.25137877371927864,0.41394887959550397
svr_10_1,0,0.2946982917541642,0.42024746624884185,0.5554553171752378
svr_100_0.01,0,0.6849600215533989,0.18771364249004077,0.3255496405326197
svr_100_0.1,0,0.6868877764879895,0.1865650076330158,0.32636526224542917
svr_100_0.5,0,0.5817451013047386,0.24921329321604885,0.4102878718833853
svr_100_1,0,0.30900316613161927,0.4117240398316778,0.5503088926704414
svr_0.1_0.01,1,0.45692315931276906,0.32358728698511163,0.43720072935233245
svr_0.1_0.1,1,0.4586249531709913,0.32257328893486664,0.4405529020577587
svr_0.1_0.5,1,0.36267440153605857,0.3797445331532408,0.5105893480828632
svr_0.1_1,1,0.1867886342950692,0.4845444324985799,0.5916087468602211
svr_1_0.01,1,0.6927433402938183,0.1830760243736696,0.3218418190619375
svr_1_0.1,1,0.6894586263985165,0.18503319061290385,0.32830246141606634
svr_1_0.5,1,0.5834882577587738,0.24817464964760275,0.4089200133814163
svr_1_1,1,0.31581012352714755,0.4076681775462323,0.5479655186012363
svr_10_0.01,1,0.6762795576799612,0.192885816193901,0.3349972354465585
svr_10_0.1,1,0.6768237742509369,0.19256154980921866,0.3359974280883773
svr_10_0.5,1,0.5896756976395081,0.24448792111420284,0.4049372565208465
svr_10_1,1,0.3242421362634411,0.40264404114279373,0.543927109129268
svr_100_0.01,1,0.6709085582226599,0.19608607629077288,0.34039362810133766
svr_100_0.1,1,0.6734575372411,0.1945672908383952,0.33877463121057244
svr_100_0.5,1,0.5932635498145697,0.2423501327490008,0.400232648444433
svr_100_1,1,0.3375873276406137,0.3946924329199651,0.5379179275140689
svr_0.1_0.01,2,0.45294183726142645,0.32595952071833006,0.4468069273912986
svr_0.1_0.1,2,0.4547774813359934,0.3248657692609714,0.44673039192630726
svr_0.1_0.5,2,0.36972555599824064,0.3755431683157287,0.5046042949828757
svr_0.1_1,2,0.19973488170482046,0.47683053133008557,0.5863308816930779
svr_1_0.01,2,0.6836547514511719,0.18849137554643097,0.3327040081085941
svr_1_0.1,2,0.6847694520648391,0.18782719154823144,0.33240580362947464
svr_1_0.5,2,0.5955867309754422,0.24096588685099793,0.39890696586095964
svr_1_1,2,0.3387416003841589,0.39400467023604724,0.5361139660832418
svr_10_0.01,2,0.669339590004842,0.1970209314179536,0.3423730588829744
svr_10_0.1,2,0.6741323737984561,0.19416519574909458,0.337133781984507
svr_10_0.5,2,0.599459001081969,0.23865863070533183,0.3934854530213005
svr_10_1,2,0.3536139640084103,0.3851431106266601,0.5303534249177416
svr_100_0.01,2,0.6674624720514182,0.19813939470048067,0.3439344726830951
svr_100_0.1,2,0.6733308607446301,0.1946427698512097,0.33846612707103113
svr_100_0.5,2,0.6028029759059086,0.2366661543926689,0.3897839962066587
svr_100_1,2,0.36743502870136047,0.37690795771242785,0.5249258375075841
