model,repeat,r2,mse,mae
svr_0.1_0.01,0,0.236469807444336,0.736165431056234,0.49168069708805195
svr_0.1_0.1,0,0.24024543648772767,0.7325251197635876,0.4924398229702851
svr_0.1_0.5,0,0.2685971235024943,0.7051895512479056,0.5221805377164612
svr_0.1_1,0,0.17768430409248004,0.7928440743329657,0.6757273019798007
svr_1_0.01,0,0.38456258266674415,0.5933802697478027,0.43802903930813036
svr_1_0.1,0,0.38857430804051873,0.5895123237675935,0.4400030012349025
svr_1_0.5,0,0.3915722994549161,0.5866217797348874,0.47602564903518313
svr_1_1,0,0.24120143044738396,0.7316033884263605,0.6549680194192921
svr_10_0.01,0,0.3954340426469626,0.5828984406065606,0.4318682067772468
svr_10_0.1,0,0.40155614054311595,0.5769957574112767,0.4307528612120379
svr_10_0.5,0,0.3950480850513587,0.5832705655631208,0.47589253575474655
svr_10_1,0,0.24657481182938312,0.7264225879028494,0.6425413889541903
svr_100_0.01,0,0.3955881144333251,0.5827498907206138,0.4351725841663711
svr_100_0.1,0,0.3985826086697881,0.5798627185277204,0.4332260599877963
svr_100_0.5,0,0.39266816867375864,0.5855651862383419,0.4753222151833743
svr_100_1,0,0.26240115019838295,0.7111634621720654,0.6253692855457543
svr_0.1_0.01,1,0.2439613696967532,0.7289423648191601,0.49389526965448677
svr_0.1_0.1,1,0.24813140937898814,0.7249217784820058,0.49267791923373794
svr_0.1_0.5,1,0.2686360928145385,0.7051519785878083,0.5143776220943111
svr_0.1_1,1,0.209726020053154,0.7619507267326331,0.6417297171589027
svr_1_0.01,1,0.38554534751666536,0.5924327269833868,0.44364817204501644
svr_1_0.1,1,0.38892077521568635,0.5891782739031076,0.4433957487470108
svr_1_0.5,1,0.3932125142640589,0.5850403498794997,0.47126322286013883
svr_1_1,1,0.2854555958545243,0.6889352829989431,0.611049916622505
svr_10_0.01,1,0.3909756833130913,0.5871970132796821,0.43767315411066443
svr_10_0.1,1,0.39933781518454514,0.5791345784556013,0.4361702896260435
svr_10_0.5,1,0.39683888525791566,0.581543947259288,0.4691915291772938
svr_10_1,1,0.28469478170114926,0.6896688297330917,0.6021801574369127
svr_100_0.01,1,0.388755729385748,0.5893374045252169,0.4388026457307148
svr_100_0.1,1,0.3949837462553222,0.5833325984702405,0.43807354119936903
svr_100_0.5,1,0.39403200963792695,0.5842502250474575,0.4688892844507662
svr_100_1,1,0.29794986347582275,0.6768888073011343,0.5880563592921416
svr_0.1_0.01,2,0.2511179819464997,0.7220422440471149,0.49175530764146935
svr_0.1_0.1,2,0.24881075958529375,0.7242667760441989,0.49389521742636366
svr_0.1_0.5,2,0.26783534272132714,0.7059240299661097,0.5086309816104444
svr_0.1_1,2,0.22605818489715346,0.7462039032413174,0.6205730200023444
svr_1_0.01,2,0.3818320205593704,0.5960129690835976,0.44699860281418524
svr_1_0.1,2,0.3863613758360711,0.5916459449473043,0.44861534717613055
svr_1_0.5,2,0.3911804633882041,0.5869995724793876,0.4674545162861119
svr_1_1,2,0.31124993209725005,0.6640654103415482,0.5811062115647225
svr_10_0.01,2,0.38802705531940196,0.5900399630662952,0.4409381733743075
svr_10_0.1,2,0.39223804636470117,0.5859798930543151,0.4413761034942493
svr_10_0.5,2,0.39669258658343476,0.5816850026200481,0.46690890766868054
svr_10_1,2,0.30501215628570344,0.6700796255800694,0.5813886125335939
svr_100_0.01,2,0.38451464491703014,0.5934264894186503,0.44289319816441647
svr_100_0.1,2,0.3904286183544956,0.587724471545232,0.44374176776179736
svr_100_0.5,2,0.3938818593295258,0.5843949940003884,0.467620507388881
svr_100_1,2,0.3086422410478944,0.6665796422921995,0.5764567126679281
