y,predict
-5.82,-5.895319938659668
-5.44,-6.485228538513184
-5.77,-5.800604820251465
-6.0,-5.701757431030273
-5.06,-5.183900833129883
-5.64,-5.546177864074707
-6.2,-6.182577133178711
-5.72,-5.907991409301758
-5.72,-5.815386772155762
-5.4,-6.358352184295654
-5.59,-5.699223041534424
-5.44,-6.174816608428955
-5.92,-5.804248809814453
-4.92,-4.893594264984131
-6.537602,-6.025496006011963
-5.55,-5.951651096343994
-5.13,-5.637382984161377
-5.03,-5.358458518981934
-5.96,-5.712775230407715
-5.96,-5.766915321350098
-3.58,-3.992680072784424
-4.74,-5.00684928894043
-7.39,-6.966151237487793
-6.92,-6.334412574768066
-6.0,-5.99489688873291
-5.82,-5.507863998413086
-4.71,-5.105012893676758
-5.96,-5.68801212310791
-5.43,-5.357821464538574
-6.85,-7.0881757736206055
-6.85,-6.915116310119629
-5.77,-5.353711128234863
-6.89,-6.702065467834473
-5.25,-4.915684700012207
-6.28,-5.866018295288086
-5.33,-5.024240493774414
-6.29,-6.215296745300293
-5.92,-6.2498369216918945
-5.98,-6.16285514831543
-7.24,-7.185431480407715
-5.89,-5.617565631866455
-5.82,-5.795450210571289
-5.92,-6.144523620605469
-5.92,-5.740838527679443
-7.52,-7.238858222961426
-6.06,-6.484576225280762
-5.96,-6.0293869972229
-6.12,-5.820474624633789
-6.72,-6.711910247802734
-7.74,-7.079960823059082
-5.22,-4.906396389007568
-5.55,-4.677504539489746
-5.72,-5.684024333953857
-7.09,-7.040568828582764
-5.96,-5.735873222351074
-6.21,-6.1720967292785645
-5.49,-5.5631184577941895
-7.33,-6.657588005065918
-5.82,-5.882986068725586
-5.8041005,-5.908058166503906
-5.55,-5.467812538146973
-7.35,-6.182861328125
-6.96,-6.778355598449707
-6.51,-5.618323802947998
-5.77,-5.498160362243652
-7.05,-7.146357536315918
-5.54,-5.782733917236328
-5.85,-6.017813682556152
-6.55,-6.626461029052734
-4.8153086,-4.978209495544434
-5.89,-5.663497447967529
-5.89,-5.747488021850586
-6.481486,-6.270655632019043
-5.66,-5.849751949310303
-6.92,-6.730905532836914
-7.13,-6.720259666442871
-5.49,-5.455840110778809
-5.56,-5.167710781097412
-4.63,-5.764532089233398
-5.66,-6.076737403869629
-6.51,-6.583037376403809
-5.35,-5.578448295593262
-5.96,-5.545780181884766
-5.89,-5.887401580810547
-5.96,-5.628151893615723
-6.55,-6.844944953918457
-7.62,-7.160723686218262
-6.66,-6.441725730895996
-7.4,-7.303640365600586
-7.18,-7.177271842956543
-6.52,-6.314103126525879
-5.96,-5.8325653076171875
-5.39,-5.754829406738281
-5.860121,-5.941181182861328
-5.92,-5.641864776611328
-7.31,-6.883666038513184
-7.14,-7.020270347595215
-6.21,-6.346224784851074
-7.0,-7.083502769470215
-5.55,-5.567885398864746
-5.96,-5.694554328918457
-5.92,-5.74702262878418
-5.03,-4.986501693725586
-7.02,-6.928592681884766
-7.51,-6.918483257293701
-5.72,-6.349040985107422
-7.6,-6.935410499572754
-6.4,-5.675237655639648
-6.62,-7.116696834564209
-5.85,-5.792975425720215
-5.92,-6.367185592651367
-6.8,-6.803529739379883
-5.51,-5.476678371429443
-4.27,-4.873708724975586
-6.96,-7.22695779800415
-6.251812,-6.352436065673828
-5.6,-5.896651268005371
-6.89,-6.5142364501953125
-6.2,-6.150570869445801
-5.74,-5.809183120727539
-5.8,-6.0963640213012695
-5.59,-5.639641284942627
-6.44,-6.534636497497559
-7.77,-6.755583763122559
-6.0,-6.169030666351318
-7.7,-6.5975847244262695
-5.0,-5.600049018859863
-6.124939,-6.2855377197265625
-5.84,-6.186280250549316
-6.0,-5.782544136047363
-4.93,-5.90909481048584
