y,predict
-4.82,-4.790820121765137
-5.897175,-6.142404556274414
-4.48,-4.983048439025879
-5.82,-5.442492485046387
-6.52,-6.455225944519043
-6.17,-5.943518161773682
-5.7520266,-5.4580397605896
-5.5016894,-5.498623371124268
-4.82,-4.654587745666504
-7.69897,-7.144354820251465
-4.74,-4.490527629852295
-5.1,-5.159982681274414
-5.7447276,-5.295267105102539
-5.2890368,-5.1534929275512695
-5.3555613,-5.221729278564453
-4.4,-4.649020195007324
-6.3,-5.3241987228393555
-5.193142,-5.946079254150391
-6.12,-6.032584190368652
-4.96,-5.715405464172363
