y,predict
-6.9,-6.211772918701172
-5.73,-5.843347072601318
-7.0,-7.074489593505859
-6.46,-6.683075428009033
-5.55,-6.172654628753662
-6.26,-6.350254535675049
-5.72,-6.229608058929443
-6.09,-5.9755940437316895
-6.59,-7.075877666473389
-5.56,-5.4792609214782715
-5.83,-5.923012733459473
-5.05,-5.559906005859375
-5.1,-5.4394073486328125
-6.94,-5.780287742614746
-5.33,-5.595579147338867
-6.07,-5.764079570770264
-5.11,-5.542654514312744
-4.7,-4.5907301902771
-7.56,-7.712955951690674
-8.4,-8.208333969116211
-5.57,-5.700546741485596
-5.89,-5.817888259887695
-5.42,-5.644347667694092
-6.16,-6.180532932281494
-4.93,-5.282769680023193
-5.06,-5.583745956420898
-6.4,-5.998412609100342
-4.98,-5.0081305503845215
-5.35,-5.601818561553955
-5.64,-6.073451995849609
-5.12,-5.329257488250732
-6.5,-6.196258068084717
-5.85,-6.122190475463867
-6.0,-5.715662956237793
-4.86,-5.136131763458252
-5.01,-5.592849254608154
-7.11,-6.051241397857666
-6.0,-6.199053764343262
-4.4,-4.936276435852051
-5.4,-5.186997890472412
-6.89,-6.834360599517822
-4.96,-5.498469829559326
-5.31,-5.428890705108643
-5.81,-5.606217861175537
-6.31,-6.0531439781188965
-5.47,-5.841795444488525
-5.43,-5.074950695037842
-5.93,-6.237563133239746
-4.51,-4.536630153656006
-4.08,-4.213832378387451
-6.34,-5.59885835647583
-6.18,-6.0425848960876465
-4.92,-5.449312686920166
-5.25,-5.5521559715271
-5.33,-5.0259575843811035
-6.21,-5.882102012634277
-5.85,-5.9702677726745605
-4.96,-5.022672653198242
-6.64,-6.102320194244385
-5.49,-5.301919460296631
-5.52,-5.649814128875732
-4.6,-4.449289321899414
-5.56,-5.334983825683594
-5.6,-5.582273960113525
-5.35,-5.5377726554870605
-6.22,-5.618661403656006
-5.22,-5.238216876983643
-4.72,-4.913271427154541
-5.68,-5.632628917694092
-5.31,-6.262497425079346
-5.32,-5.729512691497803
-5.17,-4.764682769775391
-4.83,-5.032100200653076
-5.1,-5.250455379486084
-5.39,-6.222552299499512
-6.39,-6.278385639190674
-5.78,-5.931827068328857
-5.19,-5.140774250030518
-5.41,-5.648403167724609
-4.96,-5.017330646514893
-5.85,-6.070920944213867
-8.89,-8.202890396118164
-6.24,-6.194719314575195
-5.83,-5.607559680938721
-6.07,-6.048696517944336
-7.39,-7.686269760131836
-5.93,-5.997034549713135
-5.79,-5.832149982452393
-5.17,-5.6052045822143555
-5.7,-5.180205345153809
-6.46,-5.984385967254639
-7.83,-7.867332935333252
-5.2,-5.381372928619385
-6.2,-6.222527980804443
-4.82,-5.10831880569458
-5.44,-5.489145755767822
-6.64,-7.046870708465576
-6.43,-5.7090349197387695
-5.8,-5.986151695251465
-5.91,-5.965265274047852
-4.93,-5.358705043792725
-6.2,-6.011573791503906
-6.12,-5.839947700500488
-5.55,-5.087815761566162
-5.66,-5.817317485809326
-5.93,-5.6591668128967285
-5.03,-5.22775411605835
-4.66,-4.489429950714111
-7.0,-6.704749584197998
-6.49,-6.110589504241943
-5.18,-5.647718906402588
-7.02,-6.1446919441223145
-6.59,-6.119996547698975
-6.59,-6.394974708557129
-6.19,-5.8741278648376465
-5.52,-5.3766255378723145
-5.65,-5.516964435577393
-4.54,-5.308595180511475
-4.94,-4.962185382843018
-5.86,-6.0373454093933105
-4.94,-5.177833080291748
-5.82,-6.2081780433654785
-5.7,-5.826198577880859
-5.33,-5.612634181976318
-5.04,-5.4692158699035645
-4.48,-4.585313320159912
-5.21,-5.329610347747803
-6.43,-6.145599842071533
-4.74,-4.5500969886779785
-5.39,-5.910888195037842
-6.86,-5.814882755279541
-7.0,-6.265652179718018
-5.9,-5.557248592376709
-5.37,-5.410786151885986
-6.11,-5.615861415863037
-8.34,-7.02306604385376
-6.44,-6.543051242828369
-5.34,-5.867163181304932
-5.0,-5.614589214324951
-5.46,-5.954121112823486
-5.67,-5.399301052093506
-4.85,-4.9840569496154785
-6.23,-6.277114391326904
-6.69,-5.724264621734619
-6.18,-5.99507474899292
-6.38,-6.066413879394531
-5.88,-5.673154354095459
-6.04,-5.706334590911865
-5.0,-4.998224258422852
-5.27,-6.287238597869873
-5.96,-5.786920070648193
-5.86,-5.974583148956299
-7.1,-6.114173412322998
-6.47,-4.9539008140563965
-6.79,-6.432077884674072
-5.44,-5.406460285186768
-6.73,-5.68064022064209
-5.82,-5.772947788238525
-5.99,-5.731235980987549
-7.62,-7.256033897399902
-5.4,-5.753479480743408
-5.33,-6.154318332672119
-5.89,-7.149247169494629
-4.68,-6.1328301429748535
-5.46,-5.426969051361084
-6.41,-7.202005386352539
-4.99,-5.5691399574279785
