y,predict
-6.0,-5.643996238708496
-5.96,-5.850728511810303
-4.79,-5.325801372528076
-6.22,-6.581198215484619
-5.4,-6.241976737976074
-6.58,-6.35906457901001
-5.28,-5.189367771148682
-5.72,-6.072503566741943
-5.45,-5.349664211273193
-4.74,-4.937978744506836
-5.55,-5.794070720672607
-5.16,-5.37859582901001
-5.6,-5.690316200256348
-5.84,-6.473881721496582
-6.74,-6.397571086883545
-6.44,-5.798322677612305
-6.66,-5.906809329986572
-6.34,-6.277624130249023
-5.1,-5.536799907684326
-5.74,-5.781929969787598
-5.46,-5.443212032318115
-7.0,-6.894161224365234
-6.02,-5.774429798126221
-5.81,-6.1210103034973145
-5.26,-5.603530406951904
-4.57,-4.888197898864746
-5.57,-5.706624984741211
-5.92,-5.662398815155029
-5.33,-5.610011100769043
-6.22,-6.290745735168457
-4.6,-4.82625150680542
-5.92,-5.991693019866943
-5.8,-6.097529888153076
-5.92,-5.72072172164917
-5.9,-6.02805233001709
-5.42,-5.237861156463623
-5.79,-6.430343151092529
-5.89,-5.4718475341796875
-5.64,-5.770171642303467
-5.26,-5.554922103881836
-5.21,-5.440018177032471
-5.44,-5.588449001312256
-7.0,-6.886916160583496
-6.23,-6.420461177825928
-5.31,-5.304781436920166
-5.13,-5.524505138397217
-4.52,-4.819094181060791
-6.66,-6.188708782196045
-5.24,-5.416615962982178
-5.02,-5.672574996948242
-5.63,-6.365306377410889
-5.91,-6.317122936248779
-5.82,-5.878943920135498
-5.11,-5.710360527038574
-5.87,-5.772970676422119
-6.46,-6.448253154754639
